islands	sex	adultweight.kg	hatchlingweight.g
kilda	M	1.71	79.14
bass	M	3	86.87
grassholm	M	2.65	87.12
kilda	F	2.08	82.12
grassholm	F	1.71	79.75
bass	F	3.5	90.31
kilda	M	2.21	79.14
grassholm	M	2.45	85.89
bass	M	2.24	92.76
grassholm	F	1.92	79.75
kilda	F	3.33	80.98
bass	F	3.23	95.21
bass	M	2.73	86.38
kilda	M	2.73	87.73
grassholm	M	3.1	90.18
grassholm	F	2.41	82.82
bass	F	3.23	87.85
kilda	F	2.53	88.96
kilda	M	2.2	77.91
bass	M	1.91	81.96
grassholm	M	1.91	83.44
grassholm	F	2.2	77.91
kilda	F	2.18	79.75
bass	F	2.7	83.44
grassholm	M	2.52	78.53
kilda	M	2.41	82.21
bass	M	2.53	88.83
grassholm	F	2.26	76.07
kilda	F	2.59	84.66
bass	F	3.41	89.33
kilda	M	3.21	83.44
grassholm	M	2.4	87.12
bass	M	2.2	89.33
grassholm	F	2.45	82.21
kilda	F	2.58	85.28
bass	F	3.41	92.27
bass	M	1.92	78.04
kilda	M	3.35	84.05
grassholm	M	2.91	96.93
bass	F	2.2	76.07
grassholm	F	2.09	84.66
kilda	F	2.45	85.28
bass	M	2.3	80.49
kilda	M	3	88.34
grassholm	M	3.41	93.25
bass	F	1.97	79.51
grassholm	F	3.21	83.44
kilda	F	2.2	89.57
grassholm	M	1.88	79.75
bass	M	2.74	82.45
kilda	M	2.3	87.73
grassholm	F	1.85	77.3
bass	F	2.98	85.89
kilda	F	3.1	92.64
grassholm	M	3.3	84.66
bass	M	2.3	86.38
kilda	M	2.21	87.12
bass	F	2.52	87.85
grassholm	F	2.98	88.96
kilda	F	3.5	89.57
bass	M	2.29	82.94
grassholm	M	2.5	86.5
kilda	M	2.52	88.34
bass	F	2.65	83.93
grassholm	F	2.74	84.05
kilda	F	2.24	92.02
kilda	M	2.11	74.23
bass	M	3.3	82.94
grassholm	M	3.5	93.87
kilda	F	2	74.23
bass	F	2.59	82.94
grassholm	F	3.23	91.41
bass	M	2.09	82.45
kilda	M	2.29	84.05
grassholm	M	2.52	90.18
bass	F	2.45	83.44
grassholm	F	2.76	85.28
kilda	F	3.23	92.64
bass	M	1.88	78.53
kilda	M	1.91	82.21
grassholm	M	2.29	84.66
bass	F	2.45	78.04
kilda	F	2.76	84.66
grassholm	F	3.23	96.93
bass	M	2.5	83.44
kilda	M	2.74	83.44
grassholm	M	2.53	92.02
bass	F	2.98	86.38
kilda	F	2.2	86.5
grassholm	F	2.32	87.12
kilda	M	2.5	85.28
bass	M	3.47	91.29
grassholm	M	2.24	94.48
kilda	F	2.65	85.28
grassholm	F	2.2	92.02
bass	F	2.91	94.72
bass	M	1.71	76.56
kilda	M	2	79.75
grassholm	M	3.41	96.32
bass	F	2.52	77.55
kilda	F	2.95	83.44
grassholm	F	2.98	89.57
bass	M	2.26	75.09
kilda	M	2.98	87.73
grassholm	M	2.73	88.96
bass	F	2	75.58
grassholm	F	2.95	84.05
kilda	F	3.23	88.34
bass	M	2.2	83.93
grassholm	M	2.58	85.28
kilda	M	3.5	89.57
grassholm	F	3.33	82.21
bass	F	2.32	83.93
kilda	F	3.41	92.02
bass	M	3.21	81.96
kilda	M	2.32	86.5
grassholm	M	2.3	88.96
bass	F	2.21	84.42
kilda	F	2.98	87.12
grassholm	F	2.21	87.12
bass	M	2.95	82.45
kilda	M	2.09	83.44
grassholm	M	2.59	84.66
bass	F	2.76	82.94
kilda	F	3.47	91.41
grassholm	F	3.47	93.87
